Foreign exchange contracts,$,"4,317",Unnamed: 0,$.1,"2,819",Unnamed: 1,Unnamed: 2,Unnamed: 3,"7,136"
,,,,,,,,,
Derivative liabilities (2):,,,,,,,,,
Foreign exchange contracts,$,"2,205",,$,"2,547",,,,"4,752"
Interest rate contracts,$,"1,367",,$,—,,,,"1,367"
