U.S.,$,"138,573",Unnamed: 0,Unnamed: 1,$.1,"147,859",Unnamed: 2,$.2,"133,803"
China (1),"72,559",,,"74,200",,"68,366",,,
Other countries,"172,153",,,"172,269",,"163,648",,,
Total net sales,$,"383,285",,,$,"394,328",,$,"365,817"
