Interest expense,"(3,933)",Unnamed: 0,"(2,931",Unnamed: 1,Unnamed: 2,"(2,645)",Unnamed: 3,Unnamed: 4,Unnamed: 5
"Other income/(expense), net",(382),,(228,,,60.0,,,
"Total other income/(expense), net",$,(565),,$,(334,,,$,258.0
