Research and development expense,"(29,915)",Unnamed: 0,"(26,251)",Unnamed: 1,"(21,914)",Unnamed: 2,Unnamed: 3,Unnamed: 4
"Other corporate expenses, net (1)","(6,672)",,"(7,207)",,"(6,143)",,,
Total operating income,$,"114,301",,$,"119,437",,$,"108,949"
