Products,$,"108,803",Unnamed: 0,$.1,"114,728",Unnamed: 1,Unnamed: 2,"105,126"
Services,"60,345",,"56,054",,"47,710",,,
Total gross margin,$,"169,148",,$,"170,782",,,"152,836"
